AAVE.USD,ADA.USD,ALGO.USD,APE.USD,APT.USD,ATOM.USD,AVAX.USD,AXS.USD,BCH.USD,BNB.USD,BTC.USD,CHZ.USD,CRV.USD,DASH.USD,DOGE.USD,DOT.USD,EGLD.USD,EOS.USD,ETC.USD,ETH.USD,FIL.USD,FLOW.USD,FTM.USD,GRT.USD,HBAR.USD,ICP.USD,IMX.USD,LDO.USD,LINK.USD,LRC.USD,LTC.USD,MANA.USD,MASK.USD,MATIC.USD,MKR.USD,NEAR.USD,NEO.USD,OP.USD,PAXG.USD,QNT.USD,SAND.USD,SNX.USD,SOL.USD,THETA.USD,TRX.USD,UNI.USD,VET.USD,XLM.USD,XTZ.USD,ZIL.USD
77.1,0.3509,0.244,5.0197,11.9267,12.268,17.11,9.56,132.09,301.4018,23114.38,0.1311,0.99,71.4,0.0807,6.35,48.045,1.1417,20.6551,1603.46,6.45,1.16,0.426,0.1525,0.0691,5.8,1.081,3.043,7.1596,0.3487,94.1,0.6276,3.861,1.1978,790.94,2.223,12.1,2.695,1805.14,127.2,0.6791,2.786,22.1334,1.127,0.0688,6.5015,0.0269,0.087,1.1317,0.031
77.46,0.3512,0.243,5.0171,11.9267,12.287,17.15,9.56,132.55,301.6773,23117.98,0.1311,0.99,71.4,0.0808,6.36,48.231,1.1417,20.6551,1603.94,6.45,1.16,0.4264,0.1527,0.0691,5.8,1.074,3.043,7.1529,0.3487,94.2,0.6276,3.861,1.199,789.9469,2.223,12.279,2.694,1805.14,127.4,0.6791,2.77,21.995,1.127,0.0688,6.5015,0.0269,0.0866,1.1317,0.0311
77.69,0.3519,0.245,5.0249,11.9267,12.304,17.16,9.56,132.55,301.8993,23166.74,0.1311,0.99,71.4,0.0809,6.37,48.158,1.1417,20.6551,1606.92,6.45,1.17,0.4275,0.1535,0.0692,5.8,1.088,3.043,7.1803,0.3487,94.45,0.6282,3.908,1.2017,789.9469,2.23,12.325,2.709,1805.14,126.8,0.6791,2.77,22.1679,1.127,0.0688,6.5238,0.0269,0.087,1.1376,0.031
77.59,0.3519,0.244,5.0205,11.9267,12.297,17.15,9.56,132.55,301.9999,23139.9,0.1311,0.994,71.4,0.0808,6.38,48.158,1.1417,20.6551,1606.01,6.46,1.17,0.4268,0.1533,0.0691,5.8,1.091,3.043,7.1745,0.3487,94.5,0.6282,3.908,1.2019,789.9469,2.23,12.325,2.702,1805.14,126.8,0.6791,2.785,22.1759,1.127,0.0689,6.5238,0.0269,0.087,1.1376,0.0311
77.59,0.3518,0.244,5.0205,11.9692,12.322,17.18,9.56,132.59,301.7712,23143.39,0.1311,0.993,71.4,0.0808,6.38,48.158,1.1417,20.7724,1607.75,6.42,1.17,0.4266,0.153,0.0689,5.8,1.082,3.043,7.173,0.3487,94.42,0.6282,3.908,1.2015,789.9469,2.224,12.325,2.7,1808.78,126.8,0.6833,2.785,22.1455,1.127,0.0688,6.5238,0.0269,0.087,1.1376,0.0311
77.83,0.3519,0.243,5.0205,12.013,12.374,17.16,9.56,132.55,301.654,23154.39,0.1311,0.993,71.4,0.0809,6.38,48.158,1.1417,20.7724,1608.89,6.42,1.17,0.4271,0.153,0.0689,5.8,1.079,3.043,7.1744,0.3491,94.28,0.6282,3.881,1.203,792.1287,2.227,12.189,2.7,1808.78,127.2,0.6881,2.796,22.1568,1.127,0.0688,6.5238,0.0269,0.087,1.1376,0.031
78.09,0.3541,0.245,5.0601,12.2998,12.429,17.25,9.56,133.18,302.1974,23261.33,0.1311,1.002,71.4,0.0812,6.42,48.396,1.1502,20.7724,1615.01,6.48,1.17,0.4321,0.1544,0.0694,5.8,1.079,3.08,7.224,0.3491,94.59,0.6368,3.947,1.2115,799.0,2.246,12.351,2.726,1808.78,127.2,0.6881,2.819,22.3234,1.131,0.0692,6.5472,0.0271,0.0871,1.1393,0.0312
78.04,0.3527,0.245,5.0535,12.32,12.408,17.21,9.56,133.07,301.8177,23240.44,0.1311,1.003,71.4,0.0811,6.42,48.396,1.1502,20.7724,1613.07,6.48,1.17,0.431,0.1536,0.0692,5.83,1.079,3.08,7.2097,0.3491,94.42,0.6337,3.947,1.209,798.122,2.246,12.377,2.721,1808.78,127.4,0.6881,2.82,22.219,1.136,0.0691,6.5472,0.0271,0.0871,1.1393,0.0312
78.02,0.3535,0.245,5.0535,12.3549,12.399,17.21,9.65,132.8,301.7031,23239.7,0.1311,1.002,71.4,0.0811,6.42,48.396,1.1518,20.7724,1612.65,6.45,1.17,0.4302,0.1534,0.0691,5.83,1.078,3.08,7.2108,0.3491,94.46,0.6324,3.947,1.2066,802.6389,2.239,12.377,2.718,1808.78,127.4,0.6866,2.82,22.1783,1.136,0.0692,6.5472,0.027,0.0871,1.1393,0.0312
78.06,0.3535,0.245,5.0535,12.3618,12.375,17.24,9.63,132.8,301.9188,23249.0,0.1311,1.002,71.4,0.0812,6.4,48.396,1.1535,20.7724,1613.14,6.45,1.17,0.4315,0.1534,0.069,5.83,1.075,3.08,7.2216,0.3491,94.67,0.6317,3.947,1.2085,807.8273,2.242,12.699,2.718,1808.78,127.4,0.6866,2.82,22.2255,1.136,0.0694,6.5372,0.0269,0.0872,1.1393,0.0312
